20230103 024600;11014;11015.25;11009.25;11010.75;439
20230103 024700;11010.5;11011.25;11007.5;11008.5;220
20230103 024800;11008.5;11010.75;11007.25;11008;206
20230103 024900;11008;11012.5;11007.75;11009.75;209
20230103 025000;11009.75;11011.75;11009.25;11009.75;56
20230103 025100;11010;11014.75;11010;11013.75;279
20230103 025200;11013.5;11016.25;11009.5;11010.25;397
20230103 025300;11010.5;11011.25;11009.25;11010.5;132
20230103 025400;11010.25;11012.5;11009.5;11011.75;144
20230103 025500;11011.25;11012.5;11009.5;11009.75;73
20230103 025600;11010.75;11010.75;11005.75;11006.75;409
20230103 025700;11006.5;11009;11006.25;11008;153
20230103 025800;11008.5;11011.25;11008;11009.25;185
20230103 025900;11008.75;11010.25;11008.75;11008.75;56
20230103 030000;11009;11010;11007;11009.75;188
20230103 030100;11009;11013.75;11009;11010.5;382
20230103 030200;11010;11010.25;11006.75;11007;163
20230103 030300;11006.75;11008.5;11004.75;11008;246
20230103 030400;11007.5;11008.5;11006;11006.25;142
20230103 030500;11007.25;11012.25;11007.25;11011.25;390
20230103 030600;11011.25;11012.25;11010;11010.5;336
20230103 030700;11011.25;11014;11010.75;11013.25;220
20230103 030800;11013.75;11018.5;11013.75;11017.5;557
20230103 030900;11017.25;11018;11012.25;11014;153
20230103 031000;11013.75;11014.75;11012.25;11012.75;81
20230103 031100;11012.75;11015.75;11012.25;11014.75;153
20230103 031200;11015;11017.75;11015;11016.5;214
20230103 031300;11016.5;11020;11016.5;11018.25;390
20230103 031400;11018.25;11019.75;11015;11016;264
20230103 031500;11016.25;11016.5;11013.5;11015;116
20230103 031600;11015.25;11016;11011.75;11012.5;180
20230103 031700;11012.25;11015.25;11012.25;11014;128
20230103 031800;11013.75;11016.75;11013.5;11015;93
20230103 031900;11015;11016;11013.75;11016;82
20230103 032000;11015.5;11016;11014.25;11014.75;84
20230103 032100;11015;11018.5;11014.5;11018.5;158
20230103 032200;11018.25;11019.5;11015;11016.5;189
20230103 032300;11017;11021.75;11017;11020.75;322
20230103 032400;11020.75;11021;11016.25;11016.5;238
20230103 032500;11016.25;11017.5;11014;11016.75;158
20230103 032600;11017;11019.25;11016.5;11018.25;114
20230103 032700;11018.5;11019;11016.75;11019;82
20230103 032800;11019;11019;11015.75;11017;93
20230103 032900;11017;11018.75;11016.5;11018.5;93
20230103 033000;11018;11021;11018;11019.75;189
20230103 033100;11020;11020;11016.5;11018.25;104
20230103 033200;11018.5;11023.25;11018.25;11021.25;323
20230103 033300;11021.5;11028.25;11021.5;11026.25;529
20230103 033400;11026;11027;11024.75;11027;183
20230103 033500;11026.75;11029.25;11026.75;11029;297
20230103 033600;11029;11029.25;11025;11025.25;215
20230103 033700;11025;11026.75;11024;11026;152
20230103 033800;11026.25;11027.5;11025.75;11026.5;84
20230103 033900;11026.5;11027;11024;11024.75;96
20230103 034000;11025;11025.75;11021.5;11023;226
20230103 034100;11022.5;11025.25;11022.5;11024.25;206
