"id","barcode","id","name","standard_price","uom_id","default_code","qty_available","categ_id","sale_ok","purchase_ok","available_in_pos","description","seller_ids/company_id","seller_ids/price","base_unit_id","seller_ids/product_uom_id/name","seller_ids/min_qty","seller_ids/company_id/id","seller_ids/company_id/name"
"__export__.product_template_1164_ba4de9ef","","__export__.product_template_1164_ba4de9ef","Bolsa de manigueta plástica No.1","0.0","Unidades","M6014","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","0.0","","Unidades","0.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1165_12fa16af","","__export__.product_template_1165_12fa16af","Bolsa de manigueta plástica No.2","0.0","Unidades","M6015","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","","","","","","",""
"__export__.product_template_1166_b4ab2a0f","","__export__.product_template_1166_b4ab2a0f","Bolsa de manigueta plástica No.3","0.0","Unidades","M6016","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","","","","","","",""
"__export__.product_template_1156_276fbab5","TACO","__export__.product_template_1156_276fbab5","Bolsa para tacos transparente","3000.0","PQT-1K","M6006","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","5.81","","Unidades","516.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1173_cc6beb9e","09040017","__export__.product_template_1173_cc6beb9e","Bolsas 50 und 17.8x20.3cm","800.0","PQT-50","M6023","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","16.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1160_4b689ffb","kraft12","__export__.product_template_1160_4b689ffb","Bolsas kraft No.12","4000.0","PQT-100","M6010","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","40.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1161_49277685","kraft16","__export__.product_template_1161_49277685","Bolsas kraft No.16","3800.0","PQT-100","M6011","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","38.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1162_63c0dd9f","kraft25","__export__.product_template_1162_63c0dd9f","Bolsas kraft No.25","4800.0","PQT-100","M6012","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","48.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1157_377deeb0","kraft5","__export__.product_template_1157_377deeb0","Bolsas kraft No.5","2000.0","PQT-100","M6007","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","20.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1158_c22c1d0b","kraft6","__export__.product_template_1158_c22c1d0b","Bolsas kraft No.6","2200.0","PQT-100","M6008","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","22.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1159_f9494033","kraft8","__export__.product_template_1159_f9494033","Bolsas kraft No.8","2800.0","PQT-100","M6009","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","28.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1155_319f9588","9X9SDBIO","__export__.product_template_1155_319f9588","Burbuja de 9x9","6000.0","PQT-50","M6005","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","120.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_68_10a78275","74410442801126","__export__.product_template_68_10a78275","Café Dota Fresh tueste medio - 340 g","6680.0","PQT-340","M5020","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","19.65","","g","340.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_67_3c0fa99e","466586","__export__.product_template_67_3c0fa99e","Café instantáneo liofilizado","6295.0","Pote-320","M5019","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","19.67","","g","320.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1151_7444951b","CA-SC-120V-LFS","__export__.product_template_1151_7444951b","Caja de catering con tapa","970.0","Unidades","M6001","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","48505.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1126_7a7ae17c","2610410000002","__export__.product_template_1126_7a7ae17c","Carne Molida De Res 95% Magra, 5% Grasa","6500.0","PQT-600G","M3006","0.0","TODAS LAS CUENTAS / Costo Producto / Proteínas y Refrigerados","","True","","<p>Proteínas y/o Refrigerados para elaboración de receta</p>","Pablo Pereira Magnere","6500.0","","PQT-600G","6500.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1135_9313f188","","__export__.product_template_1135_9313f188","Cebolla blanca x kgs","1300.0","kg","M2002","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","1300.0","","kg","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1139_c9ce30c6","","__export__.product_template_1139_c9ce30c6","Cebollín","500.0","Unidades","M2006","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","500.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1127_c04e0b94","","__export__.product_template_1127_c04e0b94","Chicharrón de cerdo","8500.0","kg","M3007","0.0","TODAS LAS CUENTAS / Costo Producto / Proteínas y Refrigerados","","True","","<p>Proteínas y/o Refrigerados para elaboración de receta</p>","Pablo Pereira Magnere","8500.0","","kg","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1137_a99006cb","","__export__.product_template_1137_a99006cb","Chile dulce","400.0","Unidades","M2004","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","400.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1150_7344f00a","09030293","__export__.product_template_1150_7344f00a","Cloro líquido 3% ","800.0","Galón3.50","M1009","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Insumos de aseo y limpieza</p>","Pablo Pereira Magnere","800.0","","Galón3.50","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_65_32dbcf76","215647","__export__.product_template_65_32dbcf76","Cobertura sabor chocolate #117","3690.0","PQT4x500","M5017","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","7.38","","g","500.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1253_bf90eb89","","__export__.product_template_1253_bf90eb89","Combo 1","0.0","Unidades","C-001","0.0","TODOS LOS PRODUCTOS / COMIDA / COMBOS","True","True","","","","","","","","",""
"__export__.product_template_1254_992ebb01","","__export__.product_template_1254_992ebb01","Combo 2","0.0","Unidades","C-002","0.0","TODOS LOS PRODUCTOS / COMIDA / COMBOS","True","True","","","","","","","","",""
"__export__.product_template_1255_b12b9b39","","__export__.product_template_1255_b12b9b39","Combo 3","0.0","Unidades","C-003","0.0","TODOS LOS PRODUCTOS / COMIDA / COMBOS","True","True","","","","","","","","",""
"__export__.product_template_1140_00690b14","","__export__.product_template_1140_00690b14","Culantro","240.0","Unidades","M2007","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","240.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1143_3579d29e","250925","__export__.product_template_1143_3579d29e","Desengrasante Duty","2840.0","Galón3.78","M1002","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Insumos de aseo y limpieza</p>","Pablo Pereira Magnere","751.32","","L","3.78","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1146_90de93ff","250643","__export__.product_template_1146_90de93ff","Desinfectante concentrado","1940.0","Unidades","M1005","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Insumos de aseo y limpieza</p>","Pablo Pereira Magnere","1940.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1181_fb0ddabe","09030273","__export__.product_template_1181_fb0ddabe","Detergente polvo floral Lariansa","850.0","PQT-850","M1014","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","850.0","","PQT-850","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1216_baa6cb4f","","__export__.product_template_1216_baa6cb4f","Dip Ajo Culantro 2 Oz.","0.0","Unidades","DIP-001","0.0","TODOS LOS PRODUCTOS / COMIDA / DIPS","True","True","","","","","","","","",""
