ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
UTILIDAD OPERATIVA (EBIT)," ?1,306,679 "," ?1,822,456 "," ?1,399,877 "," ?1,938,797 "," ?1,259,993 "," ?2,536,727 "," ?1,646,736 "," ?3,201,761 "," ?3,454,770 "," ?1,493,382 "," ?1,941,530 "," ?6,449,930 "," ?28,452,638 ",,,,,,
Margen Operativo %,20%,25%,20%,26%,19%,30%,23%,35%,37%,22%,26%,49%,29%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS FINANCIEROS,,,,,,,,,,,,,,,,,,,
Intereses Prestamos Bancarios," ?86,898 "," ?116,474 "," ?116,400 "," ?116,355 "," ?116,450 "," ?116,433 "," ?116,400 "," ?116,436 "," ?116,382 "," ?116,370 "," ?116,400 "," ?144,111 "," ?1,395,109 ",,,,,,
Comisiones e Intereses Bancarios, ?274 , ?308 , ?400 , ?450 , ?538 , ?593 , ?500 , ?550 , ?514 , ?480 , ?520 , ?720 ," ?5,847 ",,,,,,
Subtotal Gastos Financieros," ?87,172 "," ?116,782 "," ?116,800 "," ?116,805 "," ?116,988 "," ?117,026 "," ?116,900 "," ?116,986 "," ?116,896 "," ?116,850 "," ?116,920 "," ?144,831 "," ?1,400,956 ",,,,,,
,,,,,,,,,,,,, ?-   ,,,,,,
UTILIDAD ANTES DE IMPUESTOS," ?1,219,507 "," ?1,705,674 "," ?1,283,077 "," ?1,821,992 "," ?1,143,005 "," ?2,419,701 "," ?1,529,836 "," ?3,084,775 "," ?3,337,874 "," ?1,376,532 "," ?1,824,610 "," ?6,305,099 "," ?27,051,682 ",,,,,,
Margen antes de Impuestos %,18.37%,23.44%,18.75%,24.39%,17.12%,28.59%,21.46%,33.78%,35.28%,19.85%,24.17%,47.90%,27.97%,,,,,,
,,,,,,,,,,,,,,,,,,,
IMPUESTOS,,,,,,,,,,,,,,,,,,,
IVA Regimen Simplificado, ?-   ," ?133,896 ", ?-   , ?-   ," ?33,887 ", ?-   , ?-   , ?-   , ?-   , ?-   , ?-   ," ?45,000 "," ?212,783 ",,,,,,
Patente Municipal, ?-   , ?-   , ?-   , ?-   , ?-   , ?-   , ?-   , ?-   , ?-   , ?-   , ?-   ," ?180,000 "," ?180,000 ",,,,,,
Subtotal Impuestos, ?-   ," ?133,896 ", ?-   , ?-   ," ?33,887 ", ?-   , ?-   , ?-   , ?-   , ?-   , ?-   ," ?225,000 "," ?392,783 ",,,,,,
,,,,,,,,,,,,,,,,,,,
UTILIDAD NETA," ?1,219,507 "," ?1,571,778 "," ?1,283,077 "," ?1,821,992 "," ?1,109,118 "," ?2,419,701 "," ?1,529,836 "," ?3,084,775 "," ?3,337,874 "," ?1,376,532 "," ?1,824,610 "," ?6,080,099 "," ?26,658,899 ",,,,,,
Margen Neto %,18.37%,21.60%,18.75%,24.39%,16.61%,28.59%,21.46%,33.78%,35.28%,19.85%,24.17%,46.19%,27.56%,,,,,,
,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
EBITDA (Utilidad Operativa + Depreciacion),,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
EBITDA," ?1,356,679 "," ?1,872,456 "," ?1,449,877 "," ?1,988,797 "," ?1,309,993 "," ?2,586,727 "," ?1,696,736 "," ?3,251,761 "," ?3,504,770 "," ?1,543,382 "," ?1,991,530 "," ?6,499,930 "," ?29,052,638 ",,,,,,
Margen EBITDA %,20.43%,25.73%,21.19%,26.63%,19.62%,30.57%,23.80%,35.61%,37.04%,22.26%,26.38%,49.38%,30.03%,,,,,,
,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
ANALISIS VERTICAL (% sobre Ventas),,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,Rangos Estandart,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,,,,
Materia Prima (Alimentos y Bebidas) ( Food Cost),16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,,28-35%,,,,
Mano de Obra Directa (Cocina),23%,21%,22%,20%,23%,18%,21%,17%,16%,22%,20%,12%,19%,,Prime Costo=Food Cost +MO = 55-65%,,,,
Carga Fabril (Gas + Servicios Produccion),1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,
