Period,Time Increment,Sales,Orders,Ticket Size,Currency Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,marzo," ?4,821,150.00 ",362,"13,318.09",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,abril," ?3,818,350.00 ",276,"13,834.60",CRC,,,,,,,,,,,,,10503313.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,mayo," ?4,491,400.00 ",300,"14,971.33",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,67752.55,,,,,14300,,7000,,,17700,,,,15000,,,10700,,,6000,,,99520.75,,,56182.75,,,23550,,,,21000,,,,,1066435.85
,,,,,,,,53600,,,,,23350,,,954237.12,,13500,,,,19250,,,5300,,,87705.73,,,,846069.93,,23500,,,41500,,,,9100,,,,15000,
,,,,,,,,15800,,,,,70889,,9800,,,93098.48,,,,206604.38,,,38500,,,,850454.24,,31300,,,43550,,,7263.76,,,,39580.03,,,,118934.65,
,,,,,,,,2000,,,,,150185,,3950,,,9800,,,,,1008399.67,,103102.28,,,16350,,,18700,,,41500,,,7700,,,,,879174.66,,,13350,
,,,,,,,,5098.6,,,,,18350,,3700,,,21227.83,,,,8400,,,69400,,,37000,,,8000,,,16000,,,77000,,,,20149.28,,,,97500,
,,,,,,,,56618.53,,,,,18350,,53633.35,,,,1058428.54,,,31223.58,,,1500,,,69174.28,,,72100,,,15000,,,183470.13,,,,110500,,,,93686.78,
,,,,,,,,29000,,,,,16250,,40000,,,4400,,,,2000,,,56000,,,16668.5,,,89176.48,,,29169.88,,,23000,,,,31500,,,,65399.35,
,,,,,,,,133000,,,,,2000,,8900,,,44200,,,,59000,,,14700,,,75596.55,,,30300,,,33600,,,11700,,,,42896.88,,,,16200,
,,,,,,,,4450,,,,,14300,,23900,,,51086.88,,,,95647.78,,,7900,,,31600,,,42925,,,72400,,,116532.43,,,,35100,,,,42455.65,
,,,,,,,,1900,,,,,22000,,4500,,,14000,,,,172975.75,,,169185.28,,,3950,,,14250,,,5450,,,18000,,,,10000,,,,13800,
,,,,,,,,22500,,,,,64565.93,,5900,,,7900,,,,8726.45,,,11300,,,49100,,,16250,,,156335.85,,,2000,,,,24500,,,,129676.2,866039.91
,,,,,,,,85156.43,,,,,,1020155.76,21914.18,,,15800,,,,4400,,,47750.35,,,77595.65,,,14700,,,11700,,,21000,,,,34700,,,,115600.95,
,,,,,,,,31250,,,,,41000,,11800,,,7900,,,,19000,,,,650510.55,,14707.5,,,112728.16,,,105746.93,,,19600,,,,53400,,,,6300,
,,,,,,,,7400,,,,,12700,,107900.33,,,7900,,,,16700,,,6350,,,9100,,,14500,,,31250,,,93412.65,,,,17850,,,,4350,
,,,,,,,,84126.9,,,,,8000,,17100,,,1500,,,,4450,,,59500,,,41000,,,25600,,,56000,,,40000,,,,113302.43,,,,4665.25,
,,,,,,,,79175.38,,,,,150,,36000,,,44500,,,,4363.23,,,82999.33,,,41500,,,23500,,,44367.63,,,17000,,,,15850,,,,72655.05,
,,,,,,,,20000,,,,,17700,,41000,,,10900,,,,11550,,,45000,,,51750,,,13500,,,294000,,,147124.03,,,,88784.28,,,,83000,
,,,,,,,,53000,,,,,52250,,9800,,,3650,,,,7600,,,2575,,,71380.4,,,71233.33,,,,1159908.14,,3950,,,,8677.43,,,,22000,
,,,,,,,,30000,,,,,37700.23,,38500,,,27800,,,,9510.85,,,57849.5,,,125945.23,,,8236.2,,,17250,,,8400,,,,233306.26,999551.91,,,274.47,
,,,,,,,,9000,,,,,31500,,29905.25,,,9800,,,,7745.95,,,97222.15,,,,858715.55,,28000,952324.29,,56727.5,,,276600,,,,110796.5,,,,44612.75,
,,,,,,,,20000,,,,,36523.63,,,1108804.62,,53486.28,,,,,886970.99,,21000,,,38533.65,,,12400,,,44500,,,87800,,,,13990,,,,30750,
,,,,,,,,76086.8,,,,,13100,,40511.26,,,26400,,,,46000,,,64389.44,,,4450,,,1750,,,49350,,,53927.5,,,,121500,,,,13500,
,,,,,,,,,1086629.94,,,,50152.58,,31500,,,18000,,,,14800,,,802.92,,,7500,,,2950,,,15400,,,,893636.22,,,22500,,,ene25,"?2,546,232.01","?4,093,320.22"
,,,,,,,,22000,,,,,16300,,4450,,,15491.9,,,,39350,,,4127.91,,,32600,,,50936.98,,,35000,,,14350,,,,16700,,,total,"?6,639,552.23",
,,,,,,,,66250,,,,,20100.25,,100000,,,102707.38,,,,82558.1,,,54711.9,,,51750,,,42651.75,,,38876.83,,,20350,,,,18900,,,tiquete promedio,"?47,152.44",
,,,,,,,,39121.95,,,,,2000,,11450,,,68193.78,,,,9500,,,,635567.34,,59000,,,17300,,,24000,,,173523.99,,,,31900,,,,,
,,,,,,,,460.46,,,,,27797.18,,34300,,,19600,,,,965.06,,,15000,,,3950,,,4450,,,66050,,,21000,,,,116434.38,,,,,
,,,,,,,,53976.53,,,,,,1178111.96,21000,,,66772.05,,,,4363.23,,julio2024,"?2,407,411.38","?3,955,636.11",,"?198,110.03",,,591.62,,,11950,,,38500,,,,14700,,,,,
,,,,,,,Marzo24,"?2,431,179.61","?4,002,983.16",,,,4450,,43043.95,,,,988622.65,,,125504,,Total,,"?6,363,047.49",,"?4,950.00",,,17943.15,,,25787.15,,,24500,,,,5900,,,,,
,,,,,,,,,,,,,458.77,,19800,,,20000,,,,8650,,tiq pronedio local,,"?40,803.58",,"?9,800.00",,,79000,,,12850,,,18000,,,,55496.3,,,,,
,,,,,,,Total,"?6,434,162.77",,,,,20000,,38500,,,59750,,,junio2024,"?2,544,045.30","?3,854,462.16",,,,,154630.91,,ago2024,"?2,858,901.63","?3,552,019.67",,6800,,,122200,,,,20131.2,,,,,
,,,,,,,tiq pronedio local,"?39,855.40",,,,,114259.35,,272824.13,,,51329.18,,,Total,,"?6,398,507.46",,,,,?236.69,,total,,"?6,410,921.30",,91088.45,,,154000,,,,88000,,,,,
,,,,,,,,,,,,24-Feb,"?2,008,691.88","?3,973,820.19",27454,,,41800,,,tiq pronedio local,,"?40,381.67",,,,,,,tiq pronedio local,,"?44,670.34",,54270.68,,,67000.83,,,,119179.78,,,,,
,,,,,,,,,,,,Total,"?5,982,512.07",,445.89,,,4450,,,,,,,,,,,,,,,,58500.6,1133282.54,,4100,,,,185216.45,,,,,
,,,,,,,,,,,,tiq pronedio local,"?30,902.95",,84600,,,2203.19,,,,,,,,,24-Sep,"?2,719,964.12","?3,628,752.92",,,,,20000,,,29950,,,,6000,,,,,
,,,,,,,,,,,,,,abril 2024,"?2,747,092.92","?3,565,800.03",,71282.35,,,,,,,,,total,"?6,348,717.04",,,,,,4200,,,23500,,,,29347.5,987415.43,,,,
,,,,,,,,,,,,,,Total,"?6,312,892.95",,,11520.88,,,,,,,,,tiq pronedio local,"?41,845.60",,,,,,23000,,,27700,,,,7900,,,,,
,,,,,,,,,,,,,,tiq pronedio local,"?40,398.43",,,10500,,,,,,,,,,,,,,,,22649.55,,,181245.43,,,,86500,,,,,
,,,,,,,,,,,,,,,,, mayo2024,"?2,172,146.91","?4,675,318.95",,,,,,,,,,,,,,,3950,,,17050,,,,36621.68,,,,,
,,,,,,,,,,,,,,,,,Total,"?6,847,465.86",,,,,,,,,,,,,,,,26150,,,25700,,,,40500,,,,,
,,,,,,,,,,,,,,,,,tiq pronedio local,"?31,480.39",,,,,,,,,,,,,,,,230150.93,,,24000,,,,314724.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300,,,14950,,,,218.68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,,,47500,,,,11300,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72400,,,110453.33,,,1-Oct,"?4,127,028.85","?4,613,937.60",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31915.28,,,4300,,,total,"?8,740,966.45",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31900,,,9900,,,tiq pronedio local,,"?55,027.05",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,,,13050,,,,,,,,,
,,,,,,,,,,,,AÑO 2024,Febrero 2024,Marzo 2024,Abril 2024,Mayo 2024,Junio 2024,Julio 2024,Agosto 2024,Septiembre 2024,Octubre 2024,Noviembre 2024,Diciembre 2024,Enero 2025,Total 2024,,,,,,,,,276.81,,,56850,,,,,,,,,
,,,,,,,,,,,,Ingresos x Ventas en local,"?2,008,691.88","?2,431,179.61","?2,747,092.92","?2,172,146.91","?2,544,045.30","?2,407,411.38","?2,858,901.63","?2,719,964.12","?4,127,028.85","?3,963,859.29","?5,043,949.38","?2,546,232.01","?35,570,503.28",43%,,,,,,,,79616,,,59836.65,,,,,,,,,
,,,,,,,,,,,,Ingresos x Ventas en Uber Eats,"?3,973,820.19","?4,002,983.16","?3,565,800.03","?4,675,318.95","?3,854,462.16","?3,955,636.11","?3,552,019.67","?3,628,752.92","?4,613,937.60","?4,435,639.15","?3,697,017.27","?4,093,320.22","?48,048,707.43",57%,,,,,,,,15500,,,5308.45,,,,,,,,,
,,,,,,,,,,,,Total Ingresos x Ventas ,"?5,982,512.07","?6,434,162.77","?6,312,892.95","?6,847,465.86","?6,398,507.46","?6,363,047.49","?6,410,921.30","?6,348,717.04","?8,740,966.45","?8,399,498.44","?8,740,966.65","?6,639,552.23","?83,619,210.71",11% aumento,,,,,,,,7500,,,60300.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,796989.6,,,,,,,,
,,,,,,,,,AÑO 2023,Total Ingresos x Ventas ,,AÑO 2023,Enero 2023,Febrero 2023,Marzo 2023,Abril 2023,Mayo 2023,Junio 2023,Julio 2023,Agosto 2023,Septiembre 2023,Octubre 2023,Noviembre 2023,Diciembre 2023,Total 2023,,,,,,,,,7500,,,62218.25,,,,,,,,,
,,,,,,,,,Enero," ?4,500,782.66 ",,Ingresos x Ventas en local," ?1,603,002.26 "," ?2,372,741.41 "," ?3,293,799.49 "," ?2,219,680.54 "," ?2,880,879.85 "," ?2,444,348.56 "," ?2,303,961.34 "," ?3,325,207.34 "," ?3,488,578.23 "," ?3,092,576.62 "," ?4,590,130.99 "," ?5,136,326.19 ","?36,751,232.82",49%,V,,,,,,,47000,,,3950,,,,,,,,,
,,,,,,,,,Febrero," ?5,115,967.31 ",,Ingresos x Ventas en Uber Eats," ?2,897,780.40 "," ?2,743,225.90 "," ?2,834,735.19 "," ?2,607,609.00 "," ?3,514,551.26 "," ?2,972,510.58 "," ?2,747,150.60 "," ?3,697,744.76 "," ?2,691,226.34 "," ?3,265,939.80 "," ?4,610,970.92 "," ?3,969,234.66 ","?38,552,679.41",51%,,,,,,,1-Nov,"?3,963,859.29","?4,435,639.15",,"?22,500.00",,,,,,,,,
,,,,,,,,,Marzo ," ?6,128,534.68 ",,Total Ingresos x Ventas ,,,,,,,,,,,,,"?75,303,912.23",,,,,,,,total,,"?8,399,498.44",,"?86,185.95",,,,,,,,,
,,,,,,,,,Abril ," ?4,827,289.54 ",,,,,,,,,,,,,,,,,,,,,,,tiq pronedio local,,"?45,561.60",,"?2,000.00",,,,,,,,,
,,,,,,,,,Mayo," ?6,395,431.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,52200,,,,,,,,,
,,,,,,,,,Junio," ?5,416,859.14 ",,,,,,,,,,,,,,,,,,Año 2023,Año 2024,Variación,,,,,,,64058.7,,,,,,,,,
,,,,,,,,,Julio," ?5,051,111.94 ",,,,,,,,,,,,,,,,,Ventas x local,49%,43%,,,,,,,,12000,,,,,,,,,
,,,,,,,,,Agosto," ?7,022,952.10 ",,,,,,,,,,,,,,,,,Ventas x Uber Eats,51%,57%,,,,,,,,304.51,,,,,,,,,
,,,,,,,,,Septiembre," ?6,179,804.57 ",,,,,,,,,,,,,,,,,,,,,,,,,,,86919.43,,,,,,,,,
